pdb_code	resolution	software	refinement	r_work	r_free	stereo_target	is_multipole
6mw2	0.77	SHELXL	AB INITIO PHASING	0.0424	None	None	False
6s2m	0.72	PHENIX	MOLECULAR REPLACEMENT	0.1042	0.1107	None	False
6tov	0.767	REFMAC	AB INITIO PHASING	0.0966	0.1143	None	False
6uf7	0.8	PHENIX	AB INITIO PHASING	0.0503	0.0518	None	False
6uf8	0.8	PHENIX	AB INITIO PHASING	0.1458	0.1483	None	False
6ufa	0.77	REFMAC	AB INITIO PHASING	0.1263	0.1318	None	False
6zm8	0.78	REFMAC	MOLECULAR REPLACEMENT	0.1216	0.1337	None	False
7a5m	0.78	PHENIX	MOLECULAR REPLACEMENT	0.1192	0.14	GeoStd + Monomer Library + CDL v1.2	False
7atg	0.6	SHELXL	MOLECULAR REPLACEMENT	0.0877	0.095	None	False
7fez	0.76	REFMAC	MOLECULAR REPLACEMENT	0.12105	0.12708	MAXIMUM LIKELIHOOD	False
7kr0	0.77	PHENIX	MOLECULAR REPLACEMENT	0.1099	0.1172	ML	False
7r2h	0.79	PHENIX	MOLECULAR REPLACEMENT	0.1434	0.1549	GeoStd + Monomer Library + CDL v1.2	False
7tls	0.73	PHENIX	AB INITIO PHASING	0.1251	0.1293	GeoStd + Monomer Library + CDL v1.2	False
7tlu	0.79	PHENIX	MOLECULAR REPLACEMENT	0.1017	0.1178	GeoStd + Monomer Library + CDL v1.2	False
7tme	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1061	0.125	GeoStd + Monomer Library + CDL v1.2	False
7tmh	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1153	0.1272	GeoStd + Monomer Library + CDL v1.2	False
7tmi	0.8	PHENIX	MOLECULAR REPLACEMENT	0.096	0.1113	GeoStd + Monomer Library + CDL v1.2	False
8a71	0.69	SHELX	MOLECULAR REPLACEMENT	0.1054	0.1283	None	False
8c5n	0.75	SHELXL	MOLECULAR REPLACEMENT	0.1537	0.1634	None	False
8dts	0.75	PHENIX	AB INITIO PHASING	0.2031	0.2255	GeoStd + Monomer Library + CDL v1.2	False
8gl4	0.76	PHENIX	MOLECULAR REPLACEMENT	0.108	0.104	GeoStd + Monomer Library + CDL v1.2	False
9ewk	0.7	SHELX	MOLECULAR REPLACEMENT	0.0759	None	None	False
